Alloy,Phase
Cr17.5Mn17.3Fe23.3Ni27.4Cu14.5,AM
Al53.9Fe10.6Co12.7Ni16.1Cu6.8,BCC
Cr18.7Mn13.1Co24Ni26.9Cu17.3,FCC
Cr39.3Mn6.5Fe12.1Ni12.7Cu29.5,BCC
Cr7.2Fe10.4Co24.7Ni29.3Cu28.4,FCC
Cr14.3Mn35.5Co17.4Ni19.2Cu13.7,AM
Al47.8Fe14.4Co12.5Ni15.7Cu9.6,BCC
Mn11.3Fe23.2Co24.5Ni29.5Cu11.5,FCC
Cr17.5Fe25Co8.3Ni10.3Cu39,FCC
Cr14.4Fe21.2Co24.4Ni29Cu10.9,FCC
Cr16.7Mn26Fe18.5Co17.4Ni21.4,AM
Cr16.3Fe24.5Co22.8Ni26.9Cu9.5,FCC
Al28.7Cr9.1Fe30.3Ni24.6Cu7.3,BCC
Al19Cr24.3Fe19.8Co17.9Ni19,BCC+FCC
Al7.5Cr17.7Fe35.4Ni26.3Cu13.1,BCC+FCC
Al14Cr14Fe27.8Co33.3Cu10.9,BCC
Cr24Mn28.4Co11.6Ni13.1Cu22.8,AM
Al14Fe39.1Co9.9Ni12.9Cu24.1,BCC
Al31.2Cr41.8Fe13.6Co6.5Ni6.8,BCC
Al7.9Fe21.1Co25.1Ni32.4Cu13.4,FCC
Cr9.6Mn21.5Fe10.6Co26.5Ni31.8,AM
Cr14.5Mn31Fe15.7Co17.5Ni21.4,AM
Cr18Mn21.9Co20.3Ni22.7Cu17.1,AM
Cr14.3Fe21.1Co20.7Ni24.7Cu19.2,FCC
Al13.8Cr20.3Fe28.4Ni22.2Cu15.3,BCC+FCC
Al15.7Cr12.8Fe34.6Ni27Cu9.8,BCC+FCC
Al12.8Cr26.3Co17.5Ni21.4Cu22,BCC+FCC
Al11.4Cr12.3Co29.8Ni35.7Cu10.7,FCC
Al27.3Cr36.3Fe21.1Co7.5Ni7.8,AM
Cr12.6Fe18.5Co22.8Ni27.1Cu19.1,FCC
Al49.2Cr16.3Fe9.8Co12.1Cu12.6,BCC
Al12.9Cr16.4Fe24.2Co22.4Ni24.1,AM
Cr9.8Mn15Fe31.6Co36.5Cu7.1,BCC
Al10.3Fe41.2Co10.2Ni13.4Cu24.8,BCC
Cr32.8Mn13.9Fe12.7Ni13.8Cu26.7,BCC
Al32.3Cr44.4Fe6.8Co8.1Ni8.5,BCC
Al6.1Fe23.3Co26.6Ni34Cu10.1,FCC
Mn15.9Fe19.9Co24.7Ni29.7Cu9.8,FCC
Al11.4Cr30.6Fe16.1Co19.6Cu22.3,BCC
Cr10.7Fe16.2Co27.7Ni33.1Cu12.3,FCC
Al15.7Cr17Co26Ni31.5Cu9.8,FCC
Al27.7Fe14.9Co21.2Ni26.7Cu9.5,BCC+FCC
Cr17.5Mn25.8Co19.2Ni21.3Cu16.3,AM
Al24.7Cr18.5Fe24.4Co14.2Ni18.2,BCC
Cr14Mn18.8Fe15.6Co23.2Ni28.4,AM
Al16.7Fe11.2Co19.2Ni25.1Cu27.8,FCC
Al8.9Cr9.7Co22.4Ni28.3Cu30.7,FCC
Al8Cr18.3Co26.4Ni31.6Cu15.7,FCC
Cr16.5Fe24.4Co20.5Ni24.4Cu14.2,FCC
Cr21.3Mn6.6Co25.3Ni28.2Cu18.7,FCC
Cr18.4Fe26.5Co10.2Ni12.6Cu32.4,FCC
Al21.3Fe16.2Co11.6Ni15.5Cu35.3,BCC+FCC
Al29.2Cr14.9Fe19.4Co15.8Ni20.6,BCC
Al25.4Fe7.7Co10.9Ni14.7Cu41.3,BCC+FCC
Al23.5Cr29Fe29.2Co8.8Ni9.5,BCC
Al15.2Fe6.2Co23.3Ni30.8Cu24.5,FCC
Al29.8Cr40.7Fe10.3Co9.4Ni9.9,BCC
Al23.1Cr30Fe8.5Co18.8Ni19.6,BCC+FCC
Cr39.7Mn12.2Fe10.1Co12.1Cu26,BCC
Mn27.8Fe20.9Co19Ni22.4Cu9.9,AM
Al15.4Fe30.5Co15.3Ni19.9Cu19,BCC+FCC
Cr14Fe20.7Co19.5Ni23.7Cu22.2,FCC
Cr9.7Mn20.7Fe29Co33.8Cu6.9,BCC
Al12.8Fe42.1Co8.6Ni11Cu25.4,BCC
Al10.6Cr26.9Co18.1Ni22Cu22.4,BCC+FCC
Al14Cr15.1Co15.5Ni19.4Cu36,FCC
Al48.6Fe11.5Co14.4Ni18.3Cu7.2,BCC
Cr16.9Mn36.2Fe15.8Co19Cu12,AM
Cr9.4Mn24.6Fe27.3Co32.1Cu6.7,BCC
Al17.9Cr25.1Co16.1Ni19.6Cu21.4,BCC+FCC
Al6.9Cr13.7Fe31.8Co37.5Cu10.2,BCC
Al31.9Cr15.2Fe22.6Ni18.6Cu11.7,BCC
Mn11.3Fe39Co13.6Ni16.7Cu19.4,BCC+FCC
Al6.4Cr21.2Co25.1Ni29.8Cu17.5,FCC
Al4.5Cr27.5Co21Ni25Cu22,BCC+FCC
Al8.5Cr25.1Fe21.8Co26.3Cu18.3,BCC
Cr13.2Mn6.4Fe32.1Ni38.1Cu10.2,FCC
Cr15.9Mn6.6Co29.7Ni33.4Cu14.4,FCC
Al58.4Fe11.7Co9.6Ni12.7Cu7.6,BCC
Al23.1Fe34.3Co9.1Ni11.7Cu21.8,BCC
Cr14Mn22.5Fe15.4Co21.8Ni26.3,AM
Al26Cr34.2Fe14.2Co12.5Ni13.1,BCC
Al7.6Fe40.3Co17Ni22.4Cu12.6,BCC+FCC
Al7.3Cr13.7Co30.8Ni36.3Cu11.8,FCC
Cr9.6Mn5.8Fe35.3Ni42.1Cu7.2,FCC
Cr17.9Mn52.4Fe7.7Co9.3Cu12.8,AM
Cr10Fe14.5Co18.7Ni22.9Cu33.9,FCC
Cr21.3Mn8.7Fe23.9Co20.8Ni25.2,AM
Mn7.7Fe17.6Co30.2Ni35.9Cu8.6,FCC
Al29Cr30.7Co7.5Ni9.4Cu23.3,BCC
Al19.8Fe31.2Co7.5Ni10.3Cu31.1,BCC
Cr9.5Fe13.8Co13.2Ni16.1Cu47.4,FCC
Cr27Mn9.9Co18.5Ni20.6Cu23.9,FCC
Cr26.7Mn37.9Fe7.4Co9.1Cu18.9,AM
Al19.7Cr11.7Fe15.5Co23.4Ni29.7,FCC
Cr14.4Fe21.6Co23.5Ni28Cu12.6,FCC
Al48.4Cr11.9Fe16.6Ni13.7Cu9.3,BCC
Cr12.7Mn4.7Fe33.4Ni39.4Cu9.8,FCC
Al11.5Cr15Fe8.6Co31.7Ni33.2,FCC
Al19.6Cr13.3Fe17.2Co22Ni27.9,FCC
Al8.8Cr11.2Fe37.8Co20.3Ni21.9,AM
Al10.5Cr33.5Fe17.9Ni14Cu24.2,BCC
Cr6.8Fe10.1Co32.9Ni39Cu11.1,FCC
Al7.8Fe25Co23.9Ni30.3Cu13,BCC+FCC
Al24.3Cr26Co19.1Ni22.5Cu8.1,BCC+FCC
Cr32.5Mn10Co13.6Ni15.2Cu28.6,BCC+FCC
Cr15.1Fe21.8Co15.9Ni18.8Cu28.4,FCC
Al12.7Cr11Fe38.4Ni29.5Cu8.3,BCC+FCC
Cr33.3Mn14Fe13.6Co16.2Cu22.9,BCC
Al19.9Cr16.7Fe28Ni22.5Cu12.9,BCC
Al9.9Fe16.3Co28.7Ni35.2Cu9.9,FCC
Al26Cr19Fe18Co22.3Cu14.8,BCC
Mn5.4Fe17.3Co31.5Ni37.6Cu8.2,FCC
Al19Cr32.9Co9.1Ni11.5Cu27.6,BCC
Cr16Fe23.2Co13.4Ni16.3Cu31.2,FCC
Cr15.1Fe21.8Co12.5Ni15.2Cu35.5,FCC
Al40.1Fe20.1Co11.8Ni15.1Cu13,BCC
Cr18.4Mn4.7Fe20.3Co25.6Ni31,AM
Cr29.6Mn25Fe9.9Ni10.7Cu24.8,AM
Al14.9Cr19.3Fe20.6Co21.7Ni23.4,AM
Al26.5Cr34.3Fe24.4Co7.1Ni7.6,AM
Mn22.4Fe24Co18.9Ni23Cu11.8,AM
Mn30.3Fe14Co22.5Ni26.6Cu6.6,AM
Cr12.6Mn8.9Fe13.8Co29.3Ni35.6,AM
Cr28.7Mn19.3Fe14.8Co17.4Cu19.8,AM
Al20.7Cr26.8Fe17.8Ni14.3Cu20.4,BCC
Al22Cr23Fe31.3Co10.4Ni13.3,BCC
Al9.4Cr27.3Fe24.4Ni18.8Cu20.1,BCC+FCC
Cr30.2Mn6.1Co17.8Ni19.9Cu26,FCC
Cr26.4Mn25.9Co10.6Ni11.8Cu25.3,AM
Cr14Mn28.6Fe20.6Ni24.4Cu12.3,AM
Cr26.9Mn8.3Fe20.3Ni23.5Cu21,BCC+FCC
Cr9.4Fe13.8Co28.8Ni34.1Cu13.8,FCC
Cr10.8Mn25.7Fe25.7Co30.1Cu7.7,BCC
Mn5.7Fe41.6Co14.8Ni17.8Cu20,BCC+FCC
Al20.3Cr21.2Co14.2Ni17.8Cu26.4,BCC+FCC
Al32.9Fe12.4Co20.7Ni26.2Cu7.8,BCC+FCC
Al5.3Cr25.3Fe23.3Co27.9Cu18.2,BCC+FCC
Cr13.4Fe19Co10.7Ni12.8Cu44.1,FCC
Cr20.2Fe29.2Co11.6Ni14.2Cu24.8,BCC+FCC
Al58.2Cr11Fe12.1Ni10.1Cu8.6,AM
Al7.8Cr9.9Fe22.2Co29.1Ni31,FCC
Al19.3Fe8Co17.8Ni23.3Cu31.6,FCC
Al34.6Cr17.6Fe23.3Co10.6Ni13.9,BCC
Cr10.9Fe16.1Co24.7Ni29.4Cu19,FCC
Al7Fe24.4Co25.2Ni32.1Cu11.3,FCC
Al8.2Cr9Co32.6Ni38.9Cu11.3,FCC
Al11.5Cr26.8Fe23.7Ni18.5Cu19.5,BCC+FCC
Cr24.5Mn7.5Co21.8Ni24.9Cu21.3,FCC
Cr18.2Mn15.2Fe24.9Co28.8Cu13,BCC
Cr9.5Fe14Co26.1Ni31.5Cu18.9,FCC
Al33.5Cr36.1Co7Ni8.4Cu15.1,BCC
Cr14Fe21.1Co25.2Ni30Cu9.7,FCC
Al7.1Fe12Co30.4Ni38.8Cu11.7,FCC
Al19.1Fe38.3Co8.1Ni10.5Cu24,BCC
Al13.3Cr14Co18.1Ni22.7Cu32,FCC
Al7.8Cr11.8Fe32.7Co38.7Cu9,BCC
Al7.5Cr40.3Fe13.7Ni10.3Cu28.2,BCC
Cr12.6Mn12.8Fe13.9Co27.5Ni33.2,AM
Al7.6Cr12.8Fe40Ni30.1Cu9.6,FCC
Cr26.5Mn35.2Fe8.9Co10.6Cu18.7,AM
Al23.2Cr8.2Fe34.4Ni27.7Cu6.5,BCC
Cr27.4Mn6.9Fe21.2Ni23.5Cu20.9,BCC+FCC
Al28.4Cr38Fe18Co7.6Ni8,AM
Cr13.4Mn26.7Fe14.9Co20.3Ni24.8,AM
Al13Cr10.4Fe31.2Co37.4Cu8.1,BCC
Al9.7Cr28.2Fe18.8Co22.9Cu20.4,BCC
Al42.7Fe11Co17.2Ni21.9Cu7.2,BCC
Al8.1Fe35.2Co18.8Ni24.6Cu13.4,BCC+FCC
Al13.4Fe13.8Co28.6Ni35.5Cu8.7,FCC
Cr17.1Fe24.7Co9.7Ni11.8Cu36.7,FCC
Mn10.3Fe46.9Co9Ni10.8Cu23,BCC
Al33.3Cr36.2Co10Ni12Cu8.5,BCC
Al24.7Cr26.4Co9.8Ni12Cu27.1,BCC+FCC
Al27.9Cr31.3Co14Ni16.7Cu10.1,BCC
Al19.2Fe9.3Co17.3Ni22.7Cu31.5,FCC
Cr18Mn4.9Co29Ni32.5Cu15.6,FCC
Cr10.2Mn45.5Fe16.7Co20.1Cu7.5,AM
Al11.5Cr14.9Fe19.6Co23.9Ni30.1,AM
Al12.4Fe47.9Co8.6Ni11.4Cu19.6,BCC
Al15.4Cr15.7Co8.9Ni11.6Cu48.4,FCC
Al15.8Cr28.6Fe19.5Ni15.2Cu20.9,BCC
Al14.9Cr21.1Fe21.6Co26.2Cu16.1,BCC
Al10.1Cr35.1Co11.9Ni14.5Cu28.3,BCC
Al8.6Cr44.1Fe7.6Co9.2Cu30.5,BCC
Al17Cr38.9Fe9.1Ni7.1Cu28,BCC
Mn39Fe22.5Co12.2Ni14.7Cu11.6,AM
Cr9.8Mn36.1Fe11.2Co19.5Ni23.4,AM
Cr19.5Mn21.2Fe21.7Co17Ni20.6,AM
Mn24.4Fe20.7Co20.7Ni26.5Cu7.7,AM
Al28.5Cr17.6Fe23.5Co13.4Ni17.1,BCC
Al22.2Cr23.6Co16.8Ni20.4Cu17,BCC+FCC
Al41.2Fe8.8Co19.6Ni24.7Cu5.7,BCC
Cr13.3Fe19.3Co9Ni11Cu47.5,FCC
Al11.2Cr42.6Fe7.4Co9.1Cu29.7,BCC
Al25Fe31.4Co10Ni13.2Cu20.4,BCC
Al18.9Cr12.1Co26.6Ni31.7Cu10.7,BCC+FCC
Al31.9Cr20.6Fe27.1Co8.8Ni11.6,BCC
Cr26.3Mn24.7Fe12.6Ni14Cu22.4,AM
Al37.5Cr10.6Co19.1Ni23.3Cu9.5,BCC
Al7.2Cr11.6Co32.7Ni38.7Cu9.8,FCC
Al13.7Fe43.4Co7.3Ni9.4Cu26.2,BCC
Al38.1Cr19.9Fe12Co14.7Cu15.3,BCC
Mn15.1Fe39.7Co11.4Ni13.9Cu19.9,BCC+FCC
Al9.3Fe15.6Co26.1Ni33.2Cu15.9,FCC
Cr15.7Fe22.3Co10.6Ni12.9Cu38.5,FCC
Al19Fe11.7Co27.4Ni34.2Cu7.7,FCC
Cr19.2Fe27.8Co11Ni13.3Cu28.6,FCC
Al6.7Cr11.6Fe33.3Co39.7Cu8.7,BCC
Cr9.7Mn14.9Fe10.6Co29.4Ni35.5,AM
Al22.1Fe22.5Co8.2Ni11.1Cu36.1,BCC
Cr16.6Mn13.1Co26.1Ni28.9Cu15.3,FCC
Al10.1Cr39.4Co8.8Ni10.7Cu31.1,BCC
Cr34.3Mn12.1Fe14.1Co16.7Cu22.8,BCC
Cr12Mn33Fe20.3Ni24.2Cu10.5,AM
Al11.1Cr37.2Co10Ni12.1Cu29.6,BCC
Cr34.6Mn21.8Fe9Co10.9Cu23.8,BCC
Al26.9Cr25.4Fe12.7Co15.5Cu19.5,BCC
Al19.7Fe20.8Co20.5Ni25.9Cu13.1,BCC+FCC
Al8.8Cr34.6Fe14.3Co17.4Cu24.9,BCC
Al9.8Cr12.6Fe38.1Co18.9Ni20.5,AM
Al16.7Cr22.8Fe31.1Co12.9Ni16.5,AM
Al23.6Cr11.7Co24.7Ni29.9Cu10.1,BCC+FCC
Al7.5Cr36.3Co12.4Ni15.1Cu28.7,BCC+FCC
Cr15.1Mn20.2Fe24.8Co29.1Cu10.8,BCC
Cr18.7Mn12.9Fe20.9Co21.5Ni26,AM
Cr24.3Mn40.3Fe8.2Co10Cu17.2,AM
Cr23.4Fe34.3Co11Ni13.4Cu17.9,BCC+FCC
Al15.6Cr20.4Fe12.6Co25Ni26.4,BCC+FCC
Al9.3Cr37.8Co10.3Ni12.5Cu30.1,BCC
Cr11.5Mn46.8Fe12.7Co13.1Ni15.8,AM
Cr31.2Mn12.6Fe14.6Ni16.5Cu25.1,BCC+FCC
Al19.8Fe31.5Co12.4Ni16.2Cu20.1,BCC
Mn9.3Fe26.7Co23.1Ni27.9Cu13,FCC
Cr30.3Mn20.7Co10Ni11.2Cu27.9,AM
Al36.3Cr15Fe19.7Co12.6Ni16.4,BCC
Al7.9Cr10.1Fe37.3Co21.5Ni23.2,AM
Al28.6Cr31.7Co14.2Ni16.9Cu8.7,BCC
Cr18.9Mn35.9Fe14.6Co17.1Cu13.6,AM
Al7.9Cr8.6Co24Ni30Cu29.4,FCC
Al18.6Cr23.7Fe30.3Co13.1Ni14.2,AM
Al15.8Cr15Fe32.3Ni25.4Cu11.6,BCC+FCC
Cr15.5Mn11.8Fe27.2Ni32.7Cu12.8,FCC
Cr8.8Mn11.8Fe32.6Ni39.4Cu7.3,AM
Al17.1Cr18.2Co20Ni24.3Cu20.4,BCC+FCC
Cr16.3Mn7.7Co29Ni32.4Cu14.7,FCC
Mn11Fe29.8Co20Ni24.6Cu14.5,BCC+FCC
Al8.7Cr37.3Fe15.9Ni12.1Cu26,BCC
Al11.5Cr15.2Fe10.2Co30.6Ni32.5,FCC
Al9Cr11.1Fe22.8Co27.6Ni29.5,AM
Al19.1Cr24.4Fe33.4Co11Ni12,AM
Al13.9Cr14.5Co9.6Ni12.6Cu49.5,FCC
Al26.2Fe5.9Co11Ni15.2Cu41.6,BCC+FCC
Cr12.3Fe17.9Co21.7Ni25.7Cu22.3,FCC
Al30Cr40.3Fe16.2Co6.6Ni6.9,AM
Mn13.1Fe29Co19.7Ni23.9Cu14.5,BCC+FCC
Cr18.2Mn6.7Co27.6Ni31.2Cu16.3,FCC
Cr9.8Fe14.2Co11.2Ni13.5Cu51.4,FCC
Cr30.3Mn19.7Fe11.9Ni13Cu25,AM
Cr38.1Mn7.1Co10.4Ni11.6Cu32.8,BCC+FCC
Al16.7Fe9.5Co19.6Ni25.9Cu28.3,FCC
Cr20.2Mn14.4Fe22.4Ni26.4Cu16.5,AM
Cr13.3Mn33.5Fe19.1Ni22.3Cu11.8,AM
Al20.5Cr26.4Co13.6Ni16.9Cu22.6,BCC
Al13.9Cr39.1Fe10.9Ni8.3Cu27.6,BCC
Al27.5Cr29.1Co7.4Ni9.2Cu26.7,BCC
Mn5.1Fe30.3Co22.8Ni27.3Cu14.5,BCC+FCC
Al9.7Cr10.5Co28.8Ni34.7Cu16.3,FCC
Al22.7Cr14.3Fe18.7Co19.4Ni24.9,BCC+FCC
Al44.2Cr15.3Fe20.2Co8.9Ni11.5,BCC
Al16.4Cr37.4Fe8.4Co10.2Cu27.5,BCC
Cr34.2Mn15.5Fe10.9Ni11.9Cu27.4,BCC
Cr38.8Mn12.6Fe8.5Ni9Cu31.1,BCC
Al22.3Cr31.1Fe13.4Ni10.6Cu22.6,BCC
Cr18.4Mn13Fe25.7Co29.9Cu13,BCC
Al14.7Fe11.5Co21.4Ni28Cu24.4,FCC
Al10.3Fe35.7Co16.2Ni20.9Cu16.8,BCC+FCC
Cr21.7Mn9Co23.9Ni26.3Cu19.1,FCC
Cr18.7Fe27.5Co18.2Ni22Cu13.6,FCC
Cr14.9Mn20.1Fe23.8Ni28.4Cu12.9,AM
Al6.5Cr35.5Fe14.7Co18.2Cu25.1,BCC
Cr22.1Fe32.5Co13.1Ni15.8Cu16.5,BCC+FCC
Al14.6Cr16.1Fe25.8Co31.3Cu12.3,BCC
Al9.6Cr10.5Co29.7Ni36.1Cu14.1,FCC
Cr9.3Fe13.6Co21.9Ni26.1Cu29.2,FCC
Cr17.8Mn14.3Fe24.6Ni28.7Cu14.5,AM
Al5.6Cr41.9Co9.2Ni11.2Cu32.1,BCC
Al29.3Cr11.2Fe22.9Co27.6Cu8.9,BCC
Cr11.7Mn13Fe29.6Ni35.8Cu9.9,AM
Cr9.6Mn39.5Fe20.1Co24Cu6.9,AM
Cr20.4Fe30.2Co15.5Ni18.8Cu15.1,BCC+FCC
Cr19.5Mn40.6Fe11.2Ni12.2Cu16.5,AM
Cr40.4Mn14.9Fe8.2Co9.8Cu26.7,BCC
Al19.8Cr14.5Fe19.1Co20.7Ni26,FCC
Cr34.8Mn9.9Fe13.6Ni14.6Cu27.1,BCC+FCC
Cr14.5Mn24.1Fe22.2Ni26.5Cu12.6,AM
Al26.5Cr11.4Fe15.2Co20.6Ni26.3,BCC+FCC
Al20.8Cr30.5Co10.4Ni12.7Cu25.6,BCC
Al45.8Cr16.9Co10Ni12.5Cu14.8,BCC
Al13.5Cr15.2Fe33.6Ni26.1Cu11.5,BCC+FCC
Cr17.8Mn31.7Fe17.2Co20.8Cu12.5,AM
Al11.6Fe25Co21Ni26.4Cu15.9,BCC+FCC
Al10.2Fe22.3Co21.8Ni28.1Cu17.5,FCC
Al8Fe39.4Co12.8Ni16.3Cu23.5,BCC
Al26.4Fe16Co6.3Ni8.7Cu42.6,BCC
Al15.1Cr15.9Co10.7Ni13.9Cu44.4,FCC
Al8.3Fe32Co17.6Ni22.4Cu19.7,BCC+FCC
Cr21.6Mn7.3Fe23.7Co21.3Ni26.1,AM
Al28.1Cr10.1Fe24.3Co29.6Cu8,BCC
Al33Cr27.7Fe10.1Ni8.3Cu21,BCC
Al20.8Cr36.6Fe8.9Ni7Cu26.8,BCC
Al35.9Cr18Fe17.6Ni14.5Cu14,BCC
Al47.5Fe9.3Co16.5Ni20.8Cu5.9,BCC
Al47.5Cr14.5Fe18.9Co8.3Ni10.7,BCC
Cr9.6Mn10Fe10.2Co31.9Ni38.4,FCC
Al15.6Cr10.5Fe29.8Co35.9Cu8.1,BCC
Al30.8Cr33.8Co11.8Ni14.2Cu9.3,BCC
Al6.5Cr24.1Co22.7Ni26.8Cu19.8,FCC
Cr10.1Mn41.9Fe11.2Co16.7Ni20.2,AM
Al26Cr12.2Fe28.7Ni23.6Cu9.5,BCC
Al16Cr16.7Co13.8Ni17.6Cu35.8,FCC
Al8.5Cr24.2Fe28.2Ni21.4Cu17.7,BCC+FCC
Al22.9Cr21.6Fe28.9Co11.7Ni14.9,BCC
Al16.2Cr18.1Co22.7Ni27.4Cu15.6,BCC+FCC
Cr31.1Mn21.3Fe10.2Ni11.2Cu26.1,AM
Cr27.6Mn4.5Fe22.9Ni24.6Cu20.4,BCC+FCC
Al37.7Fe15.1Co16.4Ni21.1Cu9.8,BCC
Al13.6Fe42.5Co9.5Ni12.5Cu21.9,BCC
Al23.8Fe21Co7Ni9.8Cu38.4,BCC
Al14.8Fe9.7Co22Ni28.7Cu24.8,FCC
Al45.9Cr15.3Fe14.7Ni12.1Cu12,BCC
Al42Cr9.2Fe22.9Ni18.8Cu7.2,BCC
Al34.8Fe21.6Co12.8Ni16.8Cu14.1,BCC
Cr11Fe16.4Co26.7Ni31.9Cu14,FCC
Cr12Fe18Co28.2Ni33.6Cu8.2,FCC
Al37.8Cr13.6Fe17.8Co13.5Ni17.4,BCC
Cr11.1Mn18.3Fe12Co26.3Ni32.2,AM
Mn5.7Fe47.7Co10.8Ni13Cu22.8,BCC
Al14.3Fe34Co12Ni15.7Cu24.1,BCC
Al36.4Cr18.1Co13.2Ni16.4Cu15.9,BCC
Cr15.5Mn17.1Fe25.9Co30.5Cu11.1,BCC
Al9.7Fe40.9Co14.6Ni19Cu15.8,BCC
Al7.1Fe17.1Co28.1Ni35.8Cu11.9,FCC
Cr9.3Mn28.7Fe25.2Co30.1Cu6.7,BCC
Cr35.6Mn15.3Fe11.7Co13.6Cu23.9,BCC
Cr36.2Mn5.9Co12.9Ni14.4Cu30.6,BCC+FCC
Al5.8Fe13.8Co30.8Ni39.5Cu10.1,FCC
Cr10.7Fe15.1Co12.2Ni15.1Cu46.9,FCC
Cr7.8Fe11Co19.8Ni23.9Cu37.6,FCC
Cr13.4Fe19.3Co17.5Ni21.2Cu28.6,FCC
Al30.5Cr11.9Fe26.6Ni21.8Cu9.3,BCC
Cr31.9Mn16.5Fe12.6Ni13.4Cu25.7,AM
Al12.2Cr41.5Fe9.3Ni7.4Cu29.6,BCC
Mn18.9Fe21.7Co21.8Ni26.6Cu11.1,AM
Al7.1Fe20.3Co26.8Ni34.2Cu11.6,FCC
Al6.9Cr7.5Co25.6Ni31.7Cu28.3,FCC
Al32.1Cr33.8Co7.9Ni9.6Cu16.6,BCC
Mn10.1Fe36.7Co15.8Ni19.5Cu18,BCC+FCC
Al10.3Fe25.3Co21.5Ni27.2Cu15.7,BCC+FCC
Al7.3Fe18.6Co27.8Ni34.7Cu11.6,FCC
Cr8.1Fe11.7Co16.7Ni20.3Cu43.1,FCC
Cr17.8Fe26.3Co16Ni19.2Cu20.7,FCC
Al28.5Fe7.6Co7.7Ni10.4Cu45.9,BCC
Al24.1Cr27.9Fe15Ni12.1Cu20.9,BCC
Al22.1Cr23.5Co12.9Ni16Cu25.5,BCC+FCC
Al23.3Fe14.9Co10.1Ni13.7Cu38,BCC+FCC
Al21.3Cr22.8Co21.6Ni26Cu8.3,BCC+FCC
Al10.1Cr13Fe16.9Co29.3Ni30.7,FCC
Al27.5Cr8Fe32.2Ni26Cu6.3,BCC
Mn13.4Fe46.3Co7.9Ni9.3Cu23.1,BCC+FCC
Al12.2Cr13Co21.1Ni26.2Cu27.5,FCC
Cr8.9Mn14.1Fe31.2Ni38Cu7.8,AM
Cr14.3Mn7.5Fe15.7Co28.3Ni34.1,AM
Al14.3Cr33.3Co11.1Ni13.8Cu27.5,BCC
Al46.9Fe16.3Co11.4Ni14.8Cu10.6,BCC
Cr22.7Fe33.2Co10.6Ni13.1Cu20.5,BCC+FCC
Mn9.8Fe45.4Co10.5Ni12.3Cu22.1,BCC
Cr10.9Mn10.4Fe11.9Co30.3Ni36.5,AM
Cr12.1Fe18.2Co27.4Ni32.7Cu9.6,FCC
Al15.7Cr12.2Co27.9Ni33.4Cu10.8,FCC
Al9.3Cr18.6Co25.7Ni30.7Cu15.7,FCC
Al9Cr9.9Co17.5Ni22.6Cu40.9,FCC
Al31Cr25.7Fe10.7Co13.1Cu19.5,BCC
Al29.6Cr16.4Fe18.3Co22.7Cu13,BCC
Cr38.6Mn7.6Fe11.9Ni12.8Cu29.1,BCC
Al7.8Cr40.7Fe10.4Co12.8Cu28.2,BCC
Cr33.3Mn6.4Co14.9Ni16.9Cu28.5,BCC+FCC
Mn5.7Fe23.2Co27.5Ni32.4Cu11.2,FCC
Al28.9Cr28.3Fe9.5Co11.9Cu21.4,BCC
Cr11.2Mn6Fe33.7Ni40.3Cu8.7,FCC
Al7.6Cr24.2Co21.9Ni26.3Cu20.1,BCC+FCC
Al12.9Fe11.5Co23.6Ni30.6Cu21.4,FCC
Al25.1Fe27.1Co12.9Ni17.3Cu17.7,BCC
Al10.7Cr11.5Co22.5Ni28.2Cu27.1,FCC
Mn6.2Fe37.9Co17.1Ni20.4Cu18.3,BCC+FCC
Al6.7Cr9.9Co34.4Ni40.4Cu8.6,FCC
Al35.2Cr8.6Fe27.1Ni22.2Cu6.8,BCC
Al23.9Cr24.7Co9.2Ni11.5Cu30.7,BCC+FCC
Cr13.2Mn19.3Fe26.7Co31.3Cu9.4,BCC
Mn5.5Fe45.1Co12.6Ni15.2Cu21.6,BCC+FCC
Cr32.7Mn18.4Fe10.7Ni11.5Cu26.7,BCC
Cr42.5Mn7.5Fe8.8Ni9.2Cu32,BCC
Cr12.6Fe18.5Co25.4Ni30.8Cu12.7,FCC
Mn12.8Fe32.5Co17.6Ni21.3Cu15.8,BCC+FCC
Al6.6Cr32.1Fe17.3Co21Cu23,BCC
Al5.1Cr42.3Co9.2Ni11.1Cu32.3,BCC
Cr21Mn12.4Fe23.4Co19.3Ni23.9,AM
Al23.6Cr29.6Fe31.3Co7.3Ni8.2,AM
Al6.1Fe19.5Co28.2Ni36.1Cu10.3,FCC
Al8.7Fe21.9Co24.6Ni30.9Cu13.9,FCC
Al14.8Cr14.8Fe19.6Co22.3Ni28.4,AM
Al29.2Fe6.5Co7.6Ni10.6Cu46.1,BCC
Al30Cr12.7Fe21Co26.1Cu10.1,BCC
Al10.9Cr11.6Co13.6Ni17.6Cu46.3,FCC
Al13.3Cr17.4Fe14.7Co26.5Ni28,FCC
Al21.8Cr28.4Fe16.1Co16.5Ni17.3,BCC
Mn18.9Fe24.6Co20.1Ni24.1Cu12.4,AM
Cr12.2Fe17.6Co20.3Ni24.2Cu25.7,FCC
Cr15.5Mn5.6Fe30.9Ni36.2Cu11.8,FCC
Al41.8Cr20.2Fe10.1Co12.4Cu15.5,BCC
Cr7.7Fe11Co15.2Ni18.3Cu47.7,FCC
Al9.3Cr32.9Co14Ni17.2Cu26.6,BCC+FCC
